step,epoch,train_loss,r2_score,mse,val_loss
9,0,10.173404693603516,0.11026906967163086,10.173404693603516,
12,0,,-0.13988809287548065,8.702796936035156,8.702796936035156
19,1,3.879214286804199,0.22348880767822266,3.879214286804199,
25,1,,0.09961078315973282,6.8210859298706055,6.8210859298706055
29,2,6.574638366699219,0.2981799244880676,6.574638366699219,
38,2,,0.3049583435058594,5.220529079437256,5.220529079437256
39,3,3.9985740184783936,0.3196815848350525,3.9985740184783936,
49,3,4.759791374206543,0.48188716173171997,4.759791374206543,
51,3,,0.4766564965248108,3.888986825942993,3.888986825942993
59,4,1.2809042930603027,0.6323004961013794,1.2809042930603027,
64,4,,0.6213375926017761,2.7823195457458496,2.7823195457458496
69,5,1.6693916320800781,0.7465507984161377,1.6693916320800781,
77,5,,0.7384593486785889,1.894949197769165,1.894949197769165
79,6,2.086092472076416,0.7755026817321777,2.086092472076416,
89,6,1.0060086250305176,0.8718655109405518,1.0060086250305176,
90,6,,0.8312628865242004,1.2014789581298828,1.2014789581298828
99,7,1.5578351020812988,0.8769867420196533,1.5578351020812988,
